owner,repo,html_url,default_branch,source,selection_reason,sampled_at
pinchtab,pinchtab,https://github.com/pinchtab/pinchtab,main,github_search_api:go_active,stratum: active Go OSS (stars>800),2026-06-23T04:58:15.715950+00:00
suzuki-shunsuke,pinact,https://github.com/suzuki-shunsuke/pinact,main,github_search_api:go_active,stratum: active Go OSS (stars>800),2026-06-23T04:58:15.715745+00:00
boyter,scc,https://github.com/boyter/scc,master,github_search_api:go_active,stratum: active Go OSS (stars>800),2026-06-23T04:58:15.715810+00:00
coder,coder,https://github.com/coder/coder,main,github_search_api:go_active,stratum: active Go OSS (stars>800),2026-06-23T04:58:15.715756+00:00
netbirdio,netbird,https://github.com/netbirdio/netbird,main,github_search_api:go_active,stratum: active Go OSS (stars>800),2026-06-23T04:58:15.715943+00:00
rilldata,rill,https://github.com/rilldata/rill,main,github_search_api:go_active,stratum: active Go OSS (stars>800),2026-06-23T04:58:15.715751+00:00
matrixorigin,matrixone,https://github.com/matrixorigin/matrixone,main,github_search_api:go_active,stratum: active Go OSS (stars>800),2026-06-23T04:58:15.715822+00:00
esengine,DeepSeek-Reasonix,https://github.com/esengine/DeepSeek-Reasonix,main-v2,github_search_api:go_active,stratum: active Go OSS (stars>800),2026-06-23T04:58:15.715789+00:00
Portabase,portabase,https://github.com/Portabase/portabase,main,github_search_api:infra_topics,stratum: devops-tagged active repos (stars>800),2026-06-23T04:58:29.815770+00:00
exoframejs,exoframe,https://github.com/exoframejs/exoframe,main,github_search_api:infra_topics,stratum: devops-tagged active repos (stars>800),2026-06-23T04:58:29.815884+00:00
floci-io,floci,https://github.com/floci-io/floci,main,github_search_api:infra_topics,stratum: devops-tagged active repos (stars>800),2026-06-23T04:58:29.815626+00:00
pipe-cd,pipecd,https://github.com/pipe-cd/pipecd,master,github_search_api:infra_topics,stratum: devops-tagged active repos (stars>800),2026-06-23T04:58:29.815848+00:00
gruntwork-io,terragrunt,https://github.com/gruntwork-io/terragrunt,main,github_search_api:infra_topics,stratum: devops-tagged active repos (stars>800),2026-06-23T04:58:29.815725+00:00
TencentBlueKing,bk-ci,https://github.com/TencentBlueKing/bk-ci,master,github_search_api:infra_topics,stratum: devops-tagged active repos (stars>800),2026-06-23T04:58:29.815814+00:00
1095071913,maozi-cloud-parent,https://github.com/1095071913/maozi-cloud-parent,release,github_search_api:infra_topics,stratum: devops-tagged active repos (stars>800),2026-06-23T04:58:29.815817+00:00
timothystewart6,techno-tim.github.io,https://github.com/timothystewart6/techno-tim.github.io,master,github_search_api:infra_topics,stratum: devops-tagged active repos (stars>800),2026-06-23T04:58:29.815698+00:00
adrg,xdg,https://github.com/adrg/xdg,master,github_search_api:library_topics,stratum: library-tagged active repos (stars>800),2026-06-23T04:58:34.461640+00:00
advanced-cropper,react-advanced-cropper,https://github.com/advanced-cropper/react-advanced-cropper,master,github_search_api:library_topics,stratum: library-tagged active repos (stars>800),2026-06-23T04:58:34.461695+00:00
libssh2,libssh2,https://github.com/libssh2/libssh2,master,github_search_api:library_topics,stratum: library-tagged active repos (stars>800),2026-06-23T04:58:34.461452+00:00
apache,poi,https://github.com/apache/poi,trunk,github_search_api:library_topics,stratum: library-tagged active repos (stars>800),2026-06-23T04:58:34.461632+00:00
androidx,androidx,https://github.com/androidx/androidx,androidx-main,github_search_api:library_topics,stratum: library-tagged active repos (stars>800),2026-06-23T04:58:34.461440+00:00
apache,mina-sshd,https://github.com/apache/mina-sshd,master,github_search_api:library_topics,stratum: library-tagged active repos (stars>800),2026-06-23T04:58:34.461585+00:00
tukaani-project,xz,https://github.com/tukaani-project/xz,master,github_search_api:library_topics,stratum: library-tagged active repos (stars>800),2026-06-23T04:58:34.461579+00:00
uxlfoundation,oneDNN,https://github.com/uxlfoundation/oneDNN,main,github_search_api:library_topics,stratum: library-tagged active repos (stars>800),2026-06-23T04:58:34.461436+00:00
nix-community,NUR,https://github.com/nix-community/NUR,main,github_search_api:python_active,stratum: active Python OSS (stars>800),2026-06-23T04:58:10.567617+00:00
xingpingcn,enhanced-FaaS-in-China,https://github.com/xingpingcn/enhanced-FaaS-in-China,main,github_search_api:python_active,stratum: active Python OSS (stars>800),2026-06-23T04:58:10.567560+00:00
Supprise0901,TVBox_live,https://github.com/Supprise0901/TVBox_live,main,github_search_api:python_active,stratum: active Python OSS (stars>800),2026-06-23T04:58:10.567789+00:00
gptme,gptme,https://github.com/gptme/gptme,master,github_search_api:python_active,stratum: active Python OSS (stars>800),2026-06-23T04:58:10.567769+00:00
NVIDIA,Model-Optimizer,https://github.com/NVIDIA/Model-Optimizer,main,github_search_api:python_active,stratum: active Python OSS (stars>800),2026-06-23T04:58:10.567598+00:00
frappe,frappe,https://github.com/frappe/frappe,develop,github_search_api:python_active,stratum: active Python OSS (stars>800),2026-06-23T04:58:10.567660+00:00
nesquena,hermes-webui,https://github.com/nesquena/hermes-webui,master,github_search_api:python_active,stratum: active Python OSS (stars>800),2026-06-23T04:58:10.567639+00:00
pytorch,executorch,https://github.com/pytorch/executorch,main,github_search_api:python_active,stratum: active Python OSS (stars>800),2026-06-23T04:58:10.567609+00:00
gitbutlerapp,gitbutler,https://github.com/gitbutlerapp/gitbutler,master,github_search_api:rust_active,stratum: active Rust OSS (stars>800),2026-06-23T04:58:20.479331+00:00
kreuzberg-dev,kreuzberg,https://github.com/kreuzberg-dev/kreuzberg,main,github_search_api:rust_active,stratum: active Rust OSS (stars>800),2026-06-23T04:58:20.479110+00:00
